지점명,주소,위도,경도
맥도날드 압구정CGV점,서울 강남구 논현로 848,37.5245371,127.0288351
맥도날드 청담DT점,서울 강남구 도산대로 407 맥도날드,37.5236111,127.0402778
맥도날드 신사역점,서울 강남구 도산대로 123 2층,37.5174146,127.021881
맥도날드 강남구청역점,서울 강남구 선릉로 667 성우빌딩,37.5162358,127.0413134
맥도날드 학동역점,서울 강남구 논현로 667 진우빌딩,37.5135145,127.0305492
맥도날드삼성DT점,서울 강남구 삼성로92길 29 도일빌딩,37.5082794,127.0587636
맥도날드 선릉점,서울 강남구 테헤란로 326 역삼 아이타워,37.5035856,127.0471808
맥도날드 강남 2호점,서울 강남구 테헤란로 107,37.4986429,127.0287408
맥도날드 한티점,서울 강남구 도곡로 409 타워엠프리스,37.4973307,127.0551532
버거킹 청담점,서울 강남구 선릉로 812,37.5242656,127.0397117
버거킹 청담주성GS점,서울 강남구 영동대로 716 주성주유소,37.522014,127.056602
버거킹 삼성중앙역점,서울 강남구 봉은사로 502,37.5128471,127.0538401
버거킹 차병원사거리점,서울 강남구 봉은사로 179 H타워,37.507432,127.0333898
버거킹 신논현역점,서울 강남구 봉은사로 105,37.5049105,127.0250109
버거킹 강남대로점,서울 강남구 강남대로 406 GLASS TOWER,37.4989157,127.0276128
버거킹 선릉역점,서울 강남구 선릉로 429,37.5031695,127.0493082
버거킹 대치점,서울 강남구 도곡로 447 제일빌딩,37.4985572,127.0593517
버거킹 대치역점,서울 강남구 남부순환로 2936 대치동 507 제2종근린생활시설,37.495073,127.0698793
버거킹 강남도곡점,서울 서초구 강남대로 221 양재역환승주차장,37.4832682,127.0344664
써브웨이 압구정역점,서울 강남구 압구정로28길 13,37.4832682,127.0344664
써브웨이 신사점,서울 강남구 도산대로 124 대영빌딩,37.4832682,127.0344664
써브웨이 강남구청역점,서울 강남구 선릉로 653,37.4832682,127.0344664
써브웨이 봉은사역점,서울 강남구 봉은사로 627,37.4832682,127.0344664
써브웨이 삼성점,서울 강남구 삼성로 520,37.4832682,127.0344664
써브웨이 선정릉역점,서울 강남구 봉은사로 328 써브웨이 선정릉역점,37.4832682,127.0344664
써브웨이 언주역점,서울 강남구 봉은사로 206 대명빌딩,37.4832682,127.0344664
써브웨이 논현역점,서울 서초구 강남대로 535 프린스빌딩,37.4832682,127.0344664
써브웨이 신논현점,서울 서초구 강남대로 499,37.4832682,127.0344664
써브웨이 언주역점,서울 강남구 봉은사로 206 대명빌딩,37.4832682,127.0344664
써브웨이 선릉점,서울 강남구 테헤란로 337 1층,37.4832682,127.0344664
써브웨이 역삼점,서울 강남구 테헤란로25길 20 역삼현대벤쳐텔 1층,37.4832682,127.0344664
써브웨이 강남역점,서울 강남구 강남대로96길 12,37.4832682,127.0344664
써브웨이 강남우성점,서울 강남구 강남대로66길 6 1층,37.4832682,127.0344664
써브웨이 대치도곡점,서울 강남구 삼성로 151 써브웨이 대치도곡점,37.493038,127.0607821
써브웨이 양재점,서울 강남구 남부순환로 2611,37.4849505,127.0353417
써브웨이 포이사거리점,서울 강남구 논현로 84,37.4775056,127.0452669
써브웨이 대청점점,서울 강남구 일원로3길 4,37.4909969,127.0811638
쉐이크쉑 강남점,서울 강남구 강남대로 452,37.5028093,127.0256772
쉐이크쉑 청담점,서울 강남구 도산대로 327,37.5230834,127.0376045
KFC 압구정1점,서울 강남구 논현로175길 7,37.526101,127.0279199
KFC 강남구청역,서울 강남구 학동로 402,37.516955,127.0417748
KFC 학동역,서울 강남구 학동로 218,37.5143253,127.0329808
KFC 강남고속터미널,서울 서초구 신반포로 189 반포쇼핑타운,37.5057649,127.0023022
KFC 코엑스Mall,서울 강남구 테헤란로87길 46 호텔오크우드프리미어,37.51093,127.058103
KFC 역삼역,서울 강남구 논현로 509,37.5018927,127.0360738
KFC 강남역,서울 서초구 서초대로77길 15,37.4989002,127.0260628
KFC 서초우성점,서울 서초구 사임당로 171,37.4926746,127.0283397
KFC대치동점,서울 강남구 도곡로 517,37.4998568,127.0629046
맘스터치 압구정점,서울 강남구 봉은사로 471 1층,37.5126811,127.0512326
맘스터치 삼성중앙점,서울 서초구 강남대로 252 양재역환승주차장,37.4785467,127.0413269
맘스터치 논현아이파크점,서울 강남구 언주로 615 논현아이파크,37.4953504,127.0544641
맘스터치 강남논현점,서울 강남구 강남대로120길 47,37.5079103,127.0272227
맘스터치 선릉점,서울 강남구 선릉로93길 32,37.504672,127.0460204
맘스터치 강남역점,서울 강남구 강남대로100길 10 2층,37.5015927,127.0268557
맘스터치 강남대성학원점,서울 강남구 강남대로78길 33,37.4956024,127.0319918
맘스터치 대치한티점,서울 강남구 선릉로64길 11-2,37.4981899,127.0531949
맘스터치 대치학원가점,서울 강남구 삼성로 229,37.4975502,127.0610934
맘스터치 양재역점,서울 강남구 남부순환로 2621,37.4852655,127.0367026
롯데리아 학동역점,서울 강남구 학동로 219 국제빌딩,37.5107095,127.0443813
롯데리아 선릉점,서울 강남구 테헤란로 316 메트라이프타워,37.5076546,127.06196
롯데리아 역삼점,서울 강남구 테헤란로 116 동경빌딩,37.4990163,127.0357158
롯데리아 강남우성사거리점,서울 강남구 강남대로 334 SM타워,37.536984,127.1304084
롯데리아 개포점,서울 강남구 선릉로 26,37.4822109,127.0614674
