역명,주소,위도,경도
삼성,서울특별시 강남구 테헤란로 지하 538 (삼성역),37.5066927,127.0601306
선릉,서울특별시 강남구 테헤란로 지하 340 (2호선 선릉역),37.5045057,127.0490037
역삼,서울특별시 강남구 테헤란로 지하 156 (역삼역),37.5056037,127.0542018
강남,서울특별시 강남구 강남대로 지하 396 (2호선 강남역),37.4977857,127.027777
압구정,서울특별시 강남구 압구정로 지하 172 (압구정역),37.52633,127.028513
신사,서울특별시 강남구 도산대로 지하 102 (신사역),37.5163915,127.0203073
매봉,서울특별시 강남구 남부순환로 지하 2744 (매봉역),37.490713,127.0586709
도곡,서울특별시 강남구 남부순환로 지하 2814 (3호선 도곡역),37.490816,127.0553015
대치,서울특별시 강남구 남부순환로 지하 2952 (대치역),37.490713,127.0586709
학여울,서울특별시 강남구 남부순환로 지하 3104 (학여울),37.4957118,127.0717957
대청,서울특별시 강남구 일원로 지하 2 (대청역),37.4895177,127.0861511
일원,서울특별시 강남구 일원로 지하 121 (일원역),37.4842574,127.0840871
수서,서울특별시 강남구 광평로 지하 270 (3호선 수서역),37.485319,127.0939179
